from_date,item_descr,amount
2016-07-27,Menü 1,81
2016-07-27,Menü 2,113
2016-07-27,Menü 3,229
2016-07-28,Menü 1,113
2016-07-28,Menü 2,44
2016-07-28,Menü 3,229
2016-07-29,Menü 1,84
2016-07-29,Menü 2,120
2016-07-29,Menü 3,132
2016-08-01,Menü 1,106
2016-08-01,Menü 2,103
2016-08-01,Menü 3,192
2016-08-02,Menü 1,75
2016-08-02,Menü 2,171
2016-08-02,Menü 3,222
2016-08-03,Menü 1,33
2016-08-03,Menü 2,103
2016-08-03,Menü 3,250
2016-08-04,Menü 1,131
2016-08-04,Menü 2,150
2016-08-04,Menü 3,98
2016-08-05,Menü 1,113
2016-08-05,Menü 2,97
2016-08-05,Menü 3,106
2016-08-08,Menü 1,64
2016-08-08,Menü 2,140
2016-08-08,Menü 3,144
2016-08-09,Menü 1,135
2016-08-09,Menü 2,112
2016-08-09,Menü 3,184
2016-08-10,Menü 1,126
2016-08-10,Menü 2,55
2016-08-10,Menü 3,218
2016-08-11,Menü 1,68
2016-08-11,Menü 2,130
2016-08-11,Menü 3,237
2016-08-12,Menü 1,72
2016-08-12,Menü 2,119
2016-08-12,Menü 3,184
2016-08-15,Menü 1,127
2016-08-15,Menü 2,158
2016-08-15,Menü 3,85
2016-08-16,Menü 1,93
2016-08-16,Menü 2,126
2016-08-16,Menü 3,180
2016-08-17,Menü 1,97
2016-08-17,Menü 2,118
2016-08-17,Menü 3,161
2016-08-18,Menü 1,76
2016-08-18,Menü 2,110
2016-08-18,Menü 3,184
2016-08-19,Menü 1,111
2016-08-19,Menü 2,37
2016-08-19,Menü 3,134
2016-08-22,Menü 1,128
2016-08-22,Menü 2,146
2016-08-22,Menü 3,102
2016-08-23,Menü 1,92
2016-08-23,Menü 2,140
2016-08-23,Menü 3,137
2016-08-24,Menü 1,36
2016-08-24,Menü 2,96
2016-08-24,Menü 3,234
2016-08-25,Menü 1,53
2016-08-25,Menü 2,93
2016-08-25,Menü 3,220
2016-08-26,Menü 1,103
2016-08-26,Menü 2,61
2016-08-26,Menü 3,52
2016-08-29,Menü 1,71
2016-08-29,Menü 2,117
2016-08-29,Menü 3,133
2016-08-30,Menü 1,65
2016-08-30,Menü 2,141
2016-08-30,Menü 3,106
2016-08-31,Menü 1,66
2016-08-31,Menü 2,113
2016-08-31,Menü 3,206
2016-09-01,Menü 1,103
2016-09-01,Menü 2,134
2016-09-01,Menü 3,72
2016-09-02,Menü 1,75
2016-09-02,Menü 2,66
2016-09-02,Menü 3,139
2016-09-05,Menü 1,94
2016-09-05,Menü 2,111
2016-09-05,Menü 3,114
2016-09-06,Menü 1,45
2016-09-06,Menü 2,142
2016-09-06,Menü 3,167
2016-09-07,Menü 1,75
2016-09-07,Menü 2,110
2016-09-07,Menü 3,212
2016-09-08,Menü 1,102
2016-09-08,Menü 2,65
2016-09-08,Menü 3,233
2016-09-09,Menü 1,95
2016-09-09,Menü 2,57
2016-09-09,Menü 3,137
2016-09-12,Menü 1,79
2016-09-12,Menü 2,194
2016-09-12,Menü 3,120
2016-09-13,Menü 1,113
2016-09-13,Menü 2,96
2016-09-13,Menü 3,148
2016-09-14,Menü 1,76
2016-09-14,Menü 2,84
2016-09-14,Menü 3,246
2016-09-15,Menü 1,95
2016-09-15,Menü 2,138
2016-09-15,Menü 3,157
2016-09-16,Menü 1,53
2016-09-16,Menü 2,53
2016-09-16,Menü 3,196
2016-09-19,Menü 1,92
2016-09-19,Menü 2,161
2016-09-19,Menü 3,102
2016-09-20,Menü 1,64
2016-09-20,Menü 2,109
2016-09-20,Menü 3,179
2016-09-21,Menü 1,47
2016-09-21,Menü 2,117
2016-09-21,Menü 3,220
2016-09-22,Menü 1,73
2016-09-22,Menü 2,167
2016-09-22,Menü 3,91
2016-09-23,Menü 1,100
2016-09-23,Menü 2,132
2016-09-23,Menü 3,97
2016-09-26,Menü 1,48
2016-09-26,Menü 2,157
2016-09-26,Menü 3,171
2016-09-27,Menü 1,70
2016-09-27,Menü 2,123
2016-09-27,Menü 3,176
2016-09-28,Menü 1,60
2016-09-28,Menü 2,84
2016-09-28,Menü 3,282
2016-09-29,Menü 1,113
2016-09-29,Menü 2,73
2016-09-29,Menü 3,155
2016-09-30,Menü 1,64
2016-09-30,Menü 2,69
2016-09-30,Menü 3,177
2016-10-04,Menü 1,134
2016-10-04,Menü 2,121
2016-10-04,Menü 3,168
2016-10-05,Menü 1,99
2016-10-05,Menü 2,114
2016-10-05,Menü 3,246
2016-10-06,Menü 1,50
2016-10-06,Menü 2,132
2016-10-06,Menü 3,218
2016-10-07,Menü 1,93
2016-10-07,Menü 2,153
2016-10-07,Menü 3,60
2016-10-10,Menü 1,103
2016-10-10,Menü 2,188
2016-10-10,Menü 3,147
2016-10-11,Menü 1,57
2016-10-11,Menü 2,159
2016-10-11,Menü 3,115
2016-10-12,Menü 1,55
2016-10-12,Menü 2,208
2016-10-12,Menü 3,167
2016-10-13,Menü 1,114
2016-10-13,Menü 2,159
2016-10-13,Menü 3,207
2016-10-14,Menü 1,61
2016-10-14,Menü 2,111
2016-10-14,Menü 3,174
2016-10-17,Menü 1,124
2016-10-17,Menü 2,202
2016-10-17,Menü 3,134
2016-10-18,Menü 1,62
2016-10-18,Menü 2,161
2016-10-18,Menü 3,158
2016-10-19,Menü 1,127
2016-10-19,Menü 2,80
2016-10-19,Menü 3,250
2016-10-20,Menü 1,54
2016-10-20,Menü 2,108
2016-10-20,Menü 3,159
2016-10-21,Menü 1,124
2016-10-21,Menü 2,126
2016-10-21,Menü 3,112
2016-10-24,Menü 1,223
2016-10-24,Menü 2,82
2016-10-24,Menü 3,189
2016-10-25,Menü 1,46
2016-10-25,Menü 2,199
2016-10-25,Menü 3,175
2016-10-26,Menü 1,59
2016-10-26,Menü 2,131
2016-10-26,Menü 3,272
2016-10-27,Menü 1,128
2016-10-27,Menü 2,146
2016-10-27,Menü 3,131
2016-10-28,Menü 1,76
2016-10-28,Menü 2,78
2016-10-28,Menü 3,152
2016-11-02,Menü 1,47
2016-11-02,Menü 2,121
2016-11-02,Menü 3,215
2016-11-03,Menü 1,98
2016-11-03,Menü 2,109
2016-11-03,Menü 3,201
2016-11-04,Menü 1,83
2016-11-04,Menü 2,71
2016-11-04,Menü 3,176
2016-11-07,Menü 1,139
2016-11-07,Menü 2,129
2016-11-07,Menü 3,178
2016-11-08,Menü 1,47
2016-11-08,Menü 2,125
2016-11-08,Menü 3,230
2016-11-09,Menü 1,139
2016-11-09,Menü 2,50
2016-11-09,Menü 3,233
2016-11-10,Menü 1,77
2016-11-10,Menü 2,117
2016-11-10,Menü 3,295
2016-11-11,Menü 1,140
2016-11-11,Menü 2,137
2016-11-11,Menü 3,118
2016-11-14,Menü 1,124
2016-11-14,Menü 2,197
2016-11-14,Menü 3,101
2016-11-15,Menü 1,126
2016-11-15,Menü 2,133
2016-11-15,Menü 3,182
2016-11-16,Menü 1,128
2016-11-16,Menü 2,59
2016-11-16,Menü 3,280
2016-11-17,Menü 1,95
2016-11-17,Menü 2,109
2016-11-17,Menü 3,208
2016-11-18,Menü 1,88
2016-11-18,Menü 2,102
2016-11-18,Menü 3,175
2016-11-21,Menü 1,54
2016-11-21,Menü 2,162
2016-11-21,Menü 3,211
2016-11-22,Menü 1,156
2016-11-22,Menü 2,132
2016-11-22,Menü 3,148
2016-11-23,Menü 1,80
2016-11-23,Menü 2,127
2016-11-23,Menü 3,233
2016-11-24,Menü 1,91
2016-11-24,Menü 2,193
2016-11-24,Menü 3,75
2016-11-25,Menü 1,124
2016-11-25,Menü 2,84
2016-11-25,Menü 3,156
2016-11-28,Menü 1,72
2016-11-28,Menü 2,231
2016-11-28,Menü 3,90
2016-11-29,Menü 1,76
2016-11-29,Menü 2,145
2016-11-29,Menü 3,212
2016-11-30,Menü 1,66
2016-11-30,Menü 2,147
2016-11-30,Menü 3,253
2016-12-01,Menü 1,127
2016-12-01,Menü 2,138
2016-12-01,Menü 3,119
2016-12-02,Menü 1,75
2016-12-02,Menü 2,123
2016-12-02,Menü 3,165
2016-12-05,Menü 1,115
2016-12-05,Menü 2,177
2016-12-05,Menü 3,174
2016-12-06,Menü 1,125
2016-12-06,Menü 2,50
2016-12-06,Menü 3,349
2016-12-07,Menü 1,59
2016-12-07,Menü 2,87
2016-12-07,Menü 3,273
2016-12-08,Menü 1,107
2016-12-08,Menü 2,135
2016-12-08,Menü 3,189
2016-12-09,Menü 1,107
2016-12-09,Menü 2,153
2016-12-09,Menü 3,165
2016-12-12,Menü 1,138
2016-12-12,Menü 2,157
2016-12-12,Menü 3,144
2016-12-13,Menü 1,115
2016-12-13,Menü 2,118
2016-12-13,Menü 3,179
2016-12-14,Menü 1,76
2016-12-14,Menü 2,110
2016-12-14,Menü 3,273
2016-12-15,Menü 1,72
2016-12-15,Menü 2,48
2016-12-15,Menü 3,312
2016-12-16,Menü 1,59
2016-12-16,Menü 2,61
2016-12-16,Menü 3,134
2016-12-19,Menü 1,42
2016-12-19,Menü 2,151
2016-12-19,Menü 3,194
2016-12-20,Menü 1,108
2016-12-20,Menü 2,145
2016-12-20,Menü 3,156
2016-12-21,Menü 1,49
2016-12-21,Menü 2,97
2016-12-21,Menü 3,218
2016-12-22,Menü 1,35
2016-12-22,Menü 2,115
2016-12-22,Menü 3,193
2016-12-23,Menü 1,60
2016-12-23,Menü 2,37
2016-12-23,Menü 3,78
2017-01-02,Menü 1,43
2017-01-02,Menü 2,85
2017-01-02,Menü 3,114
2017-01-03,Menü 1,29
2017-01-03,Menü 2,99
2017-01-03,Menü 3,148
2017-01-04,Menü 1,80
2017-01-04,Menü 2,52
2017-01-04,Menü 3,148
2017-01-05,Menü 1,76
2017-01-05,Menü 2,43
2017-01-05,Menü 3,131
2017-01-09,Menü 1,107
2017-01-09,Menü 2,104
2017-01-09,Menü 3,148
2017-01-10,Menü 1,113
2017-01-10,Menü 2,145
2017-01-10,Menü 3,189
2017-01-11,Menü 1,78
2017-01-11,Menü 2,112
2017-01-11,Menü 3,283
2017-01-12,Menü 1,149
2017-01-12,Menü 2,172
2017-01-12,Menü 3,120
2017-01-13,Menü 1,148
2017-01-13,Menü 2,152
2017-01-13,Menü 3,122
2017-01-16,Menü 1,133
2017-01-16,Menü 2,192
2017-01-16,Menü 3,102
2017-01-17,Menü 1,91
2017-01-17,Menü 2,144
2017-01-17,Menü 3,188
2017-01-18,Menü 1,77
2017-01-18,Menü 2,129
2017-01-18,Menü 3,260
2017-01-19,Menü 1,84
2017-01-19,Menü 2,46
2017-01-19,Menü 3,338
2017-01-20,Menü 1,108
2017-01-20,Menü 2,149
2017-01-20,Menü 3,117
2017-01-23,Menü 1,68
2017-01-23,Menü 2,228
2017-01-23,Menü 3,104
2017-01-24,Menü 1,39
2017-01-24,Menü 2,145
2017-01-24,Menü 3,222
2017-01-25,Menü 1,122
2017-01-25,Menü 2,58
2017-01-25,Menü 3,259
2017-01-26,Menü 1,103
2017-01-26,Menü 2,94
2017-01-26,Menü 3,165
2017-01-27,Menü 1,122
2017-01-27,Menü 2,86
2017-01-27,Menü 3,176
2017-01-30,Menü 1,27
2017-01-30,Menü 2,144
2017-01-30,Menü 3,195
2017-01-31,Menü 1,63
2017-01-31,Menü 2,111
2017-01-31,Menü 3,166
2017-02-01,Menü 1,58
2017-02-01,Menü 2,103
2017-02-01,Menü 3,269
2017-02-02,Menü 1,75
2017-02-02,Menü 2,168
2017-02-02,Menü 3,156
2017-02-03,Menü 1,110
2017-02-03,Menü 2,63
2017-02-03,Menü 3,204
2017-02-06,Menü 1,111
2017-02-06,Menü 2,117
2017-02-06,Menü 3,148
2017-02-07,Menü 1,39
2017-02-07,Menü 2,143
2017-02-07,Menü 3,222
2017-02-08,Menü 1,105
2017-02-08,Menü 2,76
2017-02-08,Menü 3,309
2017-02-09,Menü 1,91
2017-02-09,Menü 2,114
2017-02-09,Menü 3,128
2017-02-10,Menü 1,144
2017-02-10,Menü 2,88
2017-02-10,Menü 3,126
2017-02-13,Menü 1,86
2017-02-13,Menü 2,151
2017-02-13,Menü 3,172
2017-02-14,Menü 1,50
2017-02-14,Menü 2,140
2017-02-14,Menü 3,160
2017-02-15,Menü 1,89
2017-02-15,Menü 2,109
2017-02-15,Menü 3,199
2017-02-16,Menü 1,62
2017-02-16,Menü 2,106
2017-02-16,Menü 3,237
2017-02-17,Menü 1,122
2017-02-17,Menü 2,70
2017-02-17,Menü 3,128
2017-02-20,Menü 1,65
2017-02-20,Menü 2,182
2017-02-20,Menü 3,144
2017-02-21,Menü 1,40
2017-02-21,Menü 2,133
2017-02-21,Menü 3,181
2017-02-22,Menü 1,85
2017-02-22,Menü 2,87
2017-02-22,Menü 3,232
2017-02-23,Menü 1,51
2017-02-23,Menü 2,114
2017-02-23,Menü 3,226
2017-02-24,Menü 1,73
2017-02-24,Menü 2,96
2017-02-24,Menü 3,158
2017-02-27,Menü 1,46
2017-02-27,Menü 2,51
2017-02-27,Menü 3,234
2017-02-28,Menü 1,55
2017-02-28,Menü 2,111
2017-02-28,Menü 3,137
2017-03-01,Menü 1,72
2017-03-01,Menü 2,119
2017-03-01,Menü 3,222
2017-03-02,Menü 1,148
2017-03-02,Menü 2,85
2017-03-02,Menü 3,154
2017-03-03,Menü 1,85
2017-03-03,Menü 2,111
2017-03-03,Menü 3,156
2017-03-06,Menü 1,105
2017-03-06,Menü 2,75
2017-03-06,Menü 3,202
2017-03-07,Menü 1,89
2017-03-07,Menü 2,133
2017-03-07,Menü 3,146
2017-03-08,Menü 1,115
2017-03-08,Menü 2,127
2017-03-08,Menü 3,206
2017-03-09,Menü 1,57
2017-03-09,Menü 2,214
2017-03-09,Menü 3,141
2017-03-10,Menü 1,92
2017-03-10,Menü 2,167
2017-03-10,Menü 3,129
2017-03-13,Menü 1,98
2017-03-13,Menü 2,104
2017-03-13,Menü 3,176
2017-03-14,Menü 1,103
2017-03-14,Menü 2,124
2017-03-14,Menü 3,147
2017-03-15,Menü 1,90
2017-03-15,Menü 2,153
2017-03-15,Menü 3,235
2017-03-16,Menü 1,48
2017-03-16,Menü 2,105
2017-03-16,Menü 3,253
2017-03-17,Menü 1,76
2017-03-17,Menü 2,104
2017-03-17,Menü 3,156
2017-03-20,Menü 1,94
2017-03-20,Menü 2,158
2017-03-20,Menü 3,124
2017-03-21,Menü 1,54
2017-03-21,Menü 2,155
2017-03-21,Menü 3,176
2017-03-22,Menü 1,98
2017-03-22,Menü 2,105
2017-03-22,Menü 3,249
2017-03-23,Menü 1,55
2017-03-23,Menü 2,102
2017-03-23,Menü 3,180
2017-03-24,Menü 1,153
